cep_start,cep_end,min_weight_kg,max_weight_kg,base_amount,ad_valorem_pct,extra_per_kg,sla_days
1000000,5999999,0.0,1.0,32.59,0,0,14
1000000,5999999,1.001,5.0,129.9,0,0,14
1000000,5999999,5.001,10.0,199.9,0,0,14
1000000,5999999,10.001,15.0,229.9,0,0,14
1000000,5999999,15.001,20.0,259.9,0,0,14
1000000,5999999,20.001,30.0,299.9,0,0,14
1000000,5999999,30.001,40.0,399.9,0,0,14
1000000,5999999,40.001,50.0,559.9,0,0,14
1000000,5999999,50.001,80.0,799.9,0,0,14
1000000,5999999,80.001,110.0,520.49,0,0,14
1000000,5999999,100.001,200.0,645.89,0,0,14
1000000,5999999,200.001,300.0,700.98,0,0,14
1000000,5999999,300.001,999.999,700.98,0,0,14
6000000,7999999,0.0,1.0,32.59,0,0,14
6000000,7999999,1.001,5.0,129.9,0,0,14
6000000,7999999,5.001,10.0,199.9,0,0,14
6000000,7999999,10.001,15.0,229.9,0,0,14
6000000,7999999,15.001,20.0,259.9,0,0,14
6000000,7999999,20.001,30.0,299.9,0,0,14
6000000,7999999,30.001,40.0,399.9,0,0,14
6000000,7999999,40.001,50.0,559.9,0,0,14
6000000,7999999,50.001,80.0,799.9,0,0,14
6000000,7999999,80.001,100.0,520.49,0,0,14
6000000,7999999,100.001,200.0,645.89,0,0,14
6000000,7999999,200.001,300.0,700.98,0,0,14
6000000,7999999,300.001,999.999,700.98,0,0,14
8000000,8499999,0.0,1.0,32.59,0,0,14
8000000,8499999,1.001,5.0,129.9,0,0,14
8000000,8499999,5.001,10.0,199.9,0,0,14
8000000,8499999,10.001,15.0,229.9,0,0,14
8000000,8499999,15.001,20.0,259.9,0,0,14
8000000,8499999,20.001,30.0,299.9,0,0,14
8000000,8499999,30.001,40.0,459.9,0,0,14
8000000,8499999,40.001,50.0,559.9,0,0,14
8000000,8499999,50.001,80.0,799.9,0,0,14
8000000,8499999,80.001,100.0,520.49,0,0,14
8000000,8499999,100.001,200.0,645.89,0,0,14
8000000,8499999,200.001,300.0,700.98,0,0,14
8000000,8499999,300.001,999.999,700.98,0,0,14
8500000,9999999,0.0,1.0,32.59,0,0,14
8500000,9999999,1.001,5.0,129.9,0,0,14
8500000,9999999,5.001,10.0,199.9,0,0,14
8500000,9999999,10.001,15.0,229.9,0,0,14
8500000,9999999,15.001,20.0,259.9,0,0,14
8500000,9999999,20.001,30.0,299.9,0,0,14
8500000,9999999,30.001,40.0,459.9,0,0,14
8500000,9999999,40.001,50.0,559.9,0,0,14
8500000,9999999,50.001,80.0,799.9,0,0,14
8500000,9999999,80.001,100.0,520.49,0,0,14
